x,y,r,score,angle,arms_ok,arm_mean,weakest_arm,axis_min,pair_value,detectada
1165,1583,134,30.59273584657121,70,4,0.34937567823978805,0.06016799578871291,0.12658313952648445,0.042782582342624664,True
1122,1318,124,16.142497253641903,60,3,0.08426383627541482,0.006251296028494835,0.06907140713218865,0.023162001743912697,False
1467,1053,111,8.684112268956277,70,2,0.10520256767806027,0.0024224144872277975,0.09681719452007805,0.0220012366771698,False
1895,634,109,7.233511933496596,10,2,0.07152092164016263,0.0004908874980174005,0.06871940611449677,0.010892707854509354,False
1698,526,103,7.09009845846709,20,2,0.06900995289402345,0.000903640640899539,0.06766977606345388,0.007701735943555832,False
2263,540,110,6.834823142113441,60,2,0.06909320536863187,0.0017320262268185616,0.05824282398334574,0.0047098989598453045,False
820,1001,131,6.733781332826599,30,2,0.06522923930389608,0.002312786877155304,0.05472839880298744,0.005862037651240826,False
1231,972,119,6.581081895503159,30,2,0.05853658274726629,0.016836888575414707,0.03434794158916374,0.014454751275479794,False
2061,775,111,5.854717220869046,70,2,0.045907813691747346,0.0010700412094593048,0.03237575972039322,0.002488774713128805,False
1522,1287,123,5.73332326072872,80,2,0.035054212501686915,0.0008526503806933761,0.03304980908050912,0.004631936550140381,False
2245,721,109,5.414699701519963,70,2,0.06058478373050375,0.0016859985189512372,0.05597832113238786,0.0032336972653865814,False
1066,1080,115,5.096278219152533,60,2,0.044116247838628865,0.012875522618374147,0.037127241419429816,0.009400373324751854,False
1881,434,103,5.0267791860803985,70,2,0.049979300092451676,0.0012888464843854308,0.03718200509702619,0.0066091218031942844,False
2431,440,67,4.966078743504514,40,2,0.03212275431104564,0.0019756953697651625,0.02965220349739897,0.021146081387996674,False
1685,1147,110,3.2027758088592533,80,1,0.038186014380141534,0.0010573745239526033,0.009937381199258542,0.0062296390533447266,False
880,1224,128,3.195621750914671,40,1,0.0369672271114913,0.0012121751205995679,0.013210143450431158,0.004214925691485405,False
2253,305,88,3.031008174981689,60,1,0.028706560902979357,0.0004858193569816649,0.004306722694309428,0.010460736230015755,False
